id,x,y,z,label,size
The Kid LAROI,0.03450922971532301,0.044801671946786005,-0.020099405637438113,The Kid LAROI,3
Regard,0.06595599282124914,-0.019084941720241364,0.005771806164363868,Regard,7
Martin Garrix,0.06139767149716456,-0.08883783174149576,0.046658555502842085,Martin Garrix,2
xxtristanxo,0.08080204931371564,-0.0968490576475671,-0.0517428326222407,xxtristanxo,2
Slowed Radio,0.08059662412003472,-0.09140069727820338,-0.06398549599649152,Slowed Radio,2
Allday,0.07001816540692479,-0.1092806281510709,-0.0643140275447234,Allday,1
Alex Hope,0.06706845209252364,-0.11102345580932195,-0.04799479368794348,Alex Hope,1
Topic,0.11098535804244483,0.04623449179386519,0.08079599237301026,Topic,9
Alessia Cara,-0.021678887230860883,-0.13069376217555187,0.00018885203625377539,Alessia Cara,2
Betty Who,0.06125417225749153,-0.10176712326444604,-0.07184552745975037,Betty Who,1
Lorde,0.008819181966948586,-0.0767482062060872,-0.19012587087037094,Lorde,2
cupcakKe,0.02502440322207126,-0.08831367747618614,-0.18431029373205707,cupcakKe,5
Sam Smith,-0.09559693962248898,-0.0017873873923676762,-0.17287156469923312,Sam Smith,20
Big Freedia,0.03136157707408299,-0.09675906458690584,-0.2033075678390655,Big Freedia,4
Brooke Candy,0.038325119241189455,-0.10095460719129344,-0.19442519392923766,Brooke Candy,4
Pabllo Vittar,0.02553878778722167,-0.10606926174137812,-0.19516827521864416,Pabllo Vittar,4
Addison Rae,0.004050330270330254,-0.09199960319494405,-0.21562732181836441,Addison Rae,2
A. G. Cook,0.011755693796180326,-0.10216057324689011,-0.21020714197773546,A. G. Cook,2
Rina Sawayama,-0.005277286955821067,-0.10418324400291896,-0.2041464953424141,Rina Sawayama,1
Kesha,0.016852666268560662,-0.08032885516654756,-0.2199485966858717,Kesha,1
Bb trickz,0.03953672187814264,-0.08187095666770902,-0.21068118454568693,Bb trickz,1
Sabrina Carpenter,-0.11122921454914575,-0.0016909688173759822,0.10966702363761911,Sabrina Carpenter,8
Farruko,-0.10697186370932649,0.036102911385053005,0.15795558129090298,Farruko,2
Dolly Parton,-0.12828476834913746,-0.0014487904226975158,0.07686434376008494,Dolly Parton,2
Charlie Puth,-0.17739078334702965,-0.05198193027489932,0.05110054258120488,Charlie Puth,24
Dan + Shay,-0.16090566962027802,-0.03149610886652791,0.08720722641089199,Dan + Shay,5
Lil Uzi Vert,-0.16738528542851874,0.11452486952115552,-0.04035963304178201,Lil Uzi Vert,1
Beyoncé,-0.0816197419321699,0.001551104352535634,0.024203736325622248,Beyoncé,25
2 Chainz,-0.16194292633716517,0.11832825190790942,-0.02485473747941511,2 Chainz,1
Eminem,-0.17519395304256896,0.098374130623704,-0.04501266966225701,Eminem,1
Jeremih,-0.17734559115323525,0.08646415849223274,-0.032735854868460666,Jeremih,1
Juice WRLD,-0.010328265215012988,0.07202104269360882,-0.12106911122861728,Juice WRLD,2
will.i.am,-0.1710636504639244,0.10150836322713239,-0.021068801890018096,will.i.am,1
PinkPantheress,0.2929637113230635,-0.09368357078181318,-0.1126122988446143,PinkPantheress,14
