song_id,primary_artist,community_id,degree
2doTn2LWTKN1Z0lZJG2WQw,Anne-Marie,0,24
572xshmOviSGH70oPYMCZV,Anne-Marie,0,24
3fvY2U1AzW0diYF0hnBbKt,Anne-Marie,0,24
2Z5EUCXngeoYD7wmJBcJv1,Anne-Marie,0,24
3fGW43fnu3OHEw6ohTC2Bw,Anne-Marie,0,24
1eprzC29mwUQqcVj0eILdx,Anne-Marie,0,24
6NOF67FYntYIfPvQmSwicE,Anne-Marie,0,24
0MWiSBKm8Avs8iDIxcertp,Anne-Marie,0,24
4a80lLYQMh00A2JTSrfilk,Anne-Marie,0,24
11z8f8BH1WdIlFI9TNQ9mc,Anne-Marie,0,24
0H8Tclo4x4kbZruQtZFNSX,Anne-Marie,0,24
6IQCmIGaOxzjNNcwScETVD,Anne-Marie,0,24
3ynJS2jbfoxkDPVrs6wPvJ,Anne-Marie,0,24
1sacvpQLUIP71HBw1xw5Gu,Anne-Marie,0,24
427nKZkn36fkvpTB6b5LkS,Anne-Marie,0,24
0z0kUUd2jPQiI2Ob8VXajc,Anne-Marie,0,24
4bhe0XXBRo4EAPKgy4M2xz,Anne-Marie,0,24
2j7WMNAPSknc94Id7Ciuas,Anne-Marie,0,24
2kDrUAONMhG6CbDGBkhdrY,Anne-Marie,0,24
4iiOb1mdmh0PCYI4BZYUU9,Anne-Marie,0,24
3RjL8AnKslWWPmlNLTJsAU,Anne-Marie,0,24
3szFx3SyWFpRbehaPxpyqq,Anne-Marie,0,24
1s3lN9mJhWzhNIw28SQTuf,Anne-Marie,0,24
4nfyxpiejEPrUHLnejED7i,Anne-Marie,0,24
1VtuJxH7jkcOWlcGdQdMRh,Anne-Marie,0,24
13skFf8DWYHxbZx3jP3V0B,Anne-Marie,0,24
41TCIYS95e0stZl93Q5Czd,Anne-Marie,0,24
7zRObPOHA0tWMYTAxLudmA,Anne-Marie,0,24
5yv6tEdYkY3EfWXGSMSnWj,Anne-Marie,0,24
6oEAcSY98NPIgD9UumQwIg,Anne-Marie,0,24
1o8kO8YyMWRAeb9bE2AIxO,Anne-Marie,0,24
1RkgmvNX2D77vyG6Y9N3jv,Anne-Marie,0,24
7tF1qEzHJBbPovn2vHklBA,Anne-Marie,0,24
0bXIQ4vX2eqnLtUUKMS0Gh,Anne-Marie,0,24
0k79twDYBMpqqjVLuEnYkh,Anne-Marie,0,24
6xVr2J3X0zhEJQz5L0QNAP,Anne-Marie,0,24
28V8YmzG9x5mdZtwvhcRsA,Anne-Marie,0,24
5duCWzvvPXMTPfnNSleTqN,Anne-Marie,0,24
1jAma2op1mdGxvqxkBK5So,Anne-Marie,0,24
4C0fuJRGXikVLrrw6kzNI3,Anne-Marie,0,24
6jrjTqvniDSdk0jQPrdPIu,Anne-Marie,0,24
01u9H9ZBX0nFWEw1FLnulL,Anne-Marie,0,24
1wh7GUMr8lnt683bVCFG8W,Anne-Marie,0,24
4fqjHJAYQYL1qwqyN9sTTL,Anne-Marie,0,24
3F9lkDd91qdLnhkVtZxOGo,Anne-Marie,0,24
0qvzXomUDJVaUboy2wMfiS,Niall Horan,0,3
2cOUlop2ZakjOKe4WinesN,Niall Horan,0,3
5FQ77Cl1ndljtwwImdtjMy,Niall Horan,0,3
39jXnbACjiaiTwwhsr5sY5,Niall Horan,0,3
7LyBwug9tJgbaEzRCqtY78,Niall Horan,0,3
7rpNuuoMbid56XkDsx2FjE,Niall Horan,0,3
0DrFTaAX2srXPkuag35djb,Niall Horan,0,3
5RPq4WPdn53v53m72dLBBf,Niall Horan,0,3
5BpmwiKR6ns1EtfCQRpNUc,Niall Horan,0,3
4Zwt0IkpzDOW2u0YfV94TK,Niall Horan,0,3
0hIDcUm3mJEn4gNo2ocLM5,Niall Horan,0,3
2NWVdwbd2hPIzC2lyf4y63,Niall Horan,0,3
4rYNrM5Yfi7vAs0PF3WnZW,Niall Horan,0,3
3jf3c9EOFam6Q15sho0XWw,Niall Horan,0,3
65wnZsZLKJimfK1cTFOfa1,Niall Horan,0,3
2928yIGFV4enculPwmmGSe,Niall Horan,0,3
3V97CljOzjfQEf00yoSVXg,Niall Horan,0,3
0kThmY7A0ynir2qLWFFhrY,Niall Horan,0,3
2PrxwMxTSEk4oHbdY8majs,Niall Horan,0,3
5zqObw7wjBgL9TDiAymxPn,Niall Horan,0,3
